+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                    ;
+------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; u0|sysid_qsys_0_control_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                     ; 33    ; 1              ; 0            ; 1              ; 31     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|sysid_qsys_0_control_slave_translator_avalon_universal_slave_0_agent                                                                  ; 269   ; 39             ; 42           ; 39             ; 285    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|pio_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                             ; 136   ; 39             ; 0            ; 39             ; 95     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|pio_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                         ; 33    ; 1              ; 0            ; 1              ; 31     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|pio_s1_translator_avalon_universal_slave_0_agent                                                                                      ; 269   ; 39             ; 42           ; 39             ; 285    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|lcd_16207_control_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                            ; 136   ; 39             ; 0            ; 39             ; 95     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|lcd_16207_control_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                        ; 33    ; 1              ; 0            ; 1              ; 31     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|lcd_16207_control_slave_translator_avalon_universal_slave_0_agent                                                                     ; 269   ; 39             ; 42           ; 39             ; 285    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|onchip_memory_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                   ; 136   ; 39             ; 0            ; 39             ; 95     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|onchip_memory_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                               ; 33    ; 1              ; 0            ; 1              ; 31     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|onchip_memory_s1_translator_avalon_universal_slave_0_agent                                                                            ; 269   ; 39             ; 42           ; 39             ; 285    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys_jtag_debug_module_translator_avalon_universal_slave_0_agent_rsp_fifo                                                       ; 136   ; 39             ; 0            ; 39             ; 95     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys_jtag_debug_module_translator_avalon_universal_slave_0_agent|uncompressor                                                   ; 33    ; 1              ; 0            ; 1              ; 31     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys_jtag_debug_module_translator_avalon_universal_slave_0_agent                                                                ; 269   ; 39             ; 42           ; 39             ; 285    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys_data_master_translator_avalon_universal_master_0_agent                                                                     ; 162   ; 35             ; 66           ; 35             ; 128    ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys_instruction_master_translator_avalon_universal_master_0_agent                                                              ; 162   ; 35             ; 66           ; 35             ; 128    ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|sysid_qsys_0_control_slave_translator                                                                                                 ; 101   ; 7              ; 16           ; 7              ; 35     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|pio_s1_translator                                                                                                                     ; 101   ; 7              ; 17           ; 7              ; 71     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|lcd_16207_control_slave_translator                                                                                                    ; 77    ; 31             ; 42           ; 31             ; 47     ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|onchip_memory_s1_translator                                                                                                           ; 101   ; 8              ; 4            ; 8              ; 86     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys_jtag_debug_module_translator                                                                                               ; 101   ; 6              ; 8            ; 6              ; 82     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys_data_master_translator                                                                                                     ; 102   ; 13             ; 0            ; 13             ; 93     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys_instruction_master_translator                                                                                              ; 102   ; 52             ; 0            ; 52             ; 93     ; 52              ; 52            ; 52              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|sysid_qsys_0                                                                                                                          ; 3     ; 14             ; 2            ; 14             ; 32     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|reset_controller_0|alt_rst_sync_uq1                                                                                                   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|reset_controller_0                                                                                                                    ; 17    ; 15             ; 0            ; 15             ; 1      ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_jtag_debug_module_wrapper|the_nios_nios2_qsys_jtag_debug_module_sysclk   ; 43    ; 0              ; 0            ; 0              ; 51     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_jtag_debug_module_wrapper|the_nios_nios2_qsys_jtag_debug_module_tck      ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_jtag_debug_module_wrapper                                                ; 123   ; 0              ; 0            ; 0              ; 53     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_nios2_oci_im                                                             ; 97    ; 36             ; 93           ; 36             ; 48     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_nios2_oci_pib                                                            ; 39    ; 20             ; 38           ; 20             ; 19     ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_nios2_oci_fifo|the_nios_nios2_qsys_oci_test_bench                        ; 36    ; 0              ; 36           ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_nios2_oci_fifo|nios_nios2_qsys_nios2_oci_fifocount_inc_fifocount         ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_nios2_oci_fifo|nios_nios2_qsys_nios2_oci_fifowp_inc_fifowp               ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_nios2_oci_fifo|nios_nios2_qsys_nios2_oci_compute_tm_count_tm_count       ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_nios2_oci_fifo                                                           ; 151   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_nios2_oci_dtrace|nios_nios2_qsys_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_nios2_oci_dtrace                                                         ; 102   ; 0              ; 91           ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_nios2_oci_itrace                                                         ; 25    ; 17             ; 23           ; 17             ; 87     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_nios2_oci_dbrk                                                           ; 87    ; 0              ; 0            ; 0              ; 91     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_nios2_oci_xbrk                                                           ; 53    ; 5              ; 50           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_nios2_oci_break                                                          ; 52    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_nios2_avalon_reg                                                         ; 48    ; 0              ; 29           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_nios2_ocimem|nios_nios2_qsys_ociram_sp_ram|the_altsyncram|auto_generated ; 46    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_nios2_ocimem|nios_nios2_qsys_ociram_sp_ram                               ; 46    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_nios2_ocimem                                                             ; 91    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci|the_nios_nios2_qsys_nios2_oci_debug                                                          ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_nios2_oci                                                                                              ; 155   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|nios_nios2_qsys_register_bank_b|the_altsyncram|auto_generated                                                              ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|nios_nios2_qsys_register_bank_b                                                                                            ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|nios_nios2_qsys_register_bank_a|the_altsyncram|auto_generated                                                              ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|nios_nios2_qsys_register_bank_a                                                                                            ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys|the_nios_nios2_qsys_test_bench                                                                                             ; 269   ; 3              ; 232          ; 3              ; 34     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2_qsys                                                                                                                            ; 148   ; 0              ; 32           ; 0              ; 108    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|pio                                                                                                                                   ; 39    ; 15             ; 15           ; 15             ; 49     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|lcd_16207                                                                                                                             ; 15    ; 0              ; 3            ; 0              ; 11     ; 0               ; 0             ; 0               ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; u0|onchip_memory|the_altsyncram|auto_generated|mux2                                                                                      ; 65    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|onchip_memory|the_altsyncram|auto_generated|deep_decode                                                                               ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|onchip_memory|the_altsyncram|auto_generated|decode3                                                                                   ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|onchip_memory|the_altsyncram|auto_generated                                                                                           ; 52    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|onchip_memory                                                                                                                         ; 55    ; 0              ; 1            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0                                                                                                                                       ; 2     ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 8     ; 0              ; 0            ; 0                ; 0                 ;
+------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
